split,task,seed,layer,top_alignment,top_minus_random,synonym_residual_cosine,target_residual_cosine,semantic_separation,synonym_mask_jaccard,target_mask_jaccard,mask_jaccard_separation
exploration,move_near,73,12,0.52299248184551,0.44905858541591437,0.983109362644195,0.8991354654547586,0.08397389718943642,0.9345159349106228,0.8968253968253967,0.03769053808522593
exploration,move_near,73,13,0.545528223165287,0.47159432673569146,0.9784181727376827,0.9626796612880514,0.01573851144963127,0.9468036529680365,0.8457142857142856,0.10108936725375084
exploration,move_near,73,14,0.4099909059797145,0.3360570095501189,0.9933792372631977,0.853229373984952,0.14014986327824566,0.97629179331307,0.8376984126984127,0.13859338061465723
exploration,move_near,73,15,0.5861624975071101,0.5122286010775147,0.9622511050288494,0.9483359994852991,0.013915105543550207,0.9345159349106228,0.8555555555555555,0.07896037935506721
exploration,move_near,73,16,0.5865596301541239,0.5126257337245285,0.984042952608553,0.9339890536972199,0.05005389891133324,0.9904761904761905,0.8750349454850433,0.11544124499114716
exploration,move_near,73,17,0.4831875323025907,0.40925363587299524,0.8638428224970189,0.9530757536944541,-0.08923293119743518,0.9301780874951606,0.8968253968253967,0.033352690669763874
exploration,move_near,73,18,0.3389542086814081,0.2650203122518125,0.9470384128981261,0.951715508392046,-0.004677095493919925,0.9670362601138748,0.9437714681098179,0.023264792004056845
exploration,move_near,73,19,0.4834791808026299,0.40954528437303434,0.919993152710294,0.9389199473030206,-0.018926794592726504,0.9503695934472081,0.9468036529680365,0.003565940479171544
exploration,move_near,73,20,0.34040033001831166,0.2664664335887162,0.866852846228234,0.9887698294041503,-0.12191698317591622,0.9367762128325507,0.9460317460317459,-0.00925553319919518
exploration,move_near,73,21,0.43376430700980695,0.3598304105802114,0.9369064043222656,0.901571205883473,0.0353351984387927,0.9596251266464032,0.9209225542959655,0.03870257235043776
exploration,move_near,73,22,0.49389087368176976,0.4199569772521743,0.9473737166305228,0.906372106491045,0.04100161013947775,0.9329931972789115,0.8863685636856369,0.0466246335932747
exploration,move_near,73,23,0.47980579263071926,0.4058718962011238,0.9453748392313739,0.9742070632961481,-0.028832224064774297,0.97629179331307,0.9626984126984127,0.013593380614657239
exploration,move_near,73,24,0.5254905447631374,0.45155664833354187,0.9399757542168583,0.9297094319552522,0.010266322261606101,0.9534428794992175,0.9209225542959655,0.03252032520325202
