task,seed,stage,category,step,m,swap_count,historical_mask_jaccard,residual_cosine,action_l2,action_changed_dims,feature_norm_delta,residual_norm_delta,component_delta,isolated_ratio_delta,max_single_swap_action_l2,sum_single_swap_action_l2,interaction_only_action_change
close_drawer,54,late,rescue,99,42,1,0.68,0.9970885870654221,0.0,0,2.0695343017578125,-0.4873504638671875,0,0.0,0.0,0.0,0
close_drawer,55,early,rescue,13,7,1,0.25925925925925924,0.9966844135722814,0.0,0,2.73345947265625,-0.096588134765625,1,0.14285714285714285,0.0,0.0,0
close_drawer,55,middle,rescue,56,21,2,0.8076923076923077,0.9451212278321898,0.11504726535666215,1,1.098236083984375,-0.405181884765625,1,0.047619047619047616,0.11504726535666215,0.11504726535666215,0
close_drawer,55,late,rescue,99,13,0,0.46153846153846156,1.0000000000000002,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,56,early,both_success,13,41,1,1.0,0.9871436282722035,0.0,0,3.2000579833984375,7.5672454833984375,0,0.024390243902439025,0.0,0.0,0
close_drawer,56,middle,both_success,56,49,2,0.74,0.9850666274214033,0.0489656727278934,1,0.4312896728515625,-3.3792724609375,-1,0.0,0.0,0.0,1
close_drawer,56,late,both_success,99,51,0,0.8245614035087719,1.0000000000000002,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,57,early,both_fail,13,23,1,0.8695652173913043,0.9896345050832015,0.05904728405148374,1,0.0493316650390625,3.0048828125,-1,-0.043478260869565216,0.05904728405148374,0.05904728405148374,0
close_drawer,57,middle,both_fail,56,30,0,0.7,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,57,late,both_fail,99,5,0,0.11363636363636363,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,58,early,both_success,13,29,1,0.8529411764705882,0.9892279579307074,0.01774010046607989,2,-0.7109527587890625,-2.880615234375,-1,0.0,0.01774010046607989,0.01774010046607989,0
close_drawer,58,middle,both_success,56,52,1,0.9454545454545454,0.990806435451419,0.0,0,1.0107879638671875,-0.4788970947265625,0,0.0,0.0,0.0,0
close_drawer,58,late,both_success,99,53,1,0.9811320754716981,0.9902400912491675,0.0,0,0.259063720703125,2.5662689208984375,0,0.01886792452830189,0.0,0.0,0
close_drawer,59,early,both_success,13,7,0,0.23333333333333334,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,59,middle,both_success,56,51,0,0.6666666666666666,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
