task,seed,category,phase,control_step,sector,removed_count,progress,delta_vs_locked_full,mean_action_l2,mean_residual_norm,final_success
close_drawer,9,harm,late,90,r1_c0,4,-0.0,0.0,0.20381213353906763,186.08757934570312,0
close_drawer,9,harm,late,90,r1_c1,3,-0.0,0.0,0.19321557033166945,185.07211456298828,0
close_drawer,9,harm,late,90,r2_c0,12,-0.0,0.0,0.1970056763388955,183.56572265625,0
close_drawer,9,harm,late,90,r2_c1,19,-0.0,0.0,0.19028384530252257,173.30140380859376,0
close_drawer,49,harm,approach,0,r0_c0,1,0.14006562127420097,-0.06635719598043438,0.04193849170170579,177.9330078125,0
close_drawer,49,harm,approach,0,r0_c1,3,0.18177240727676436,-0.02465040997787099,0.08762079977667978,180.16138153076173,0
close_drawer,49,harm,approach,0,r1_c0,1,0.20642281725463535,0.0,0.07953133433445705,175.24380187988282,0
close_drawer,49,harm,approach,0,r1_c1,8,0.09862992600732601,-0.10779289124730934,0.0783937462321059,188.7719528198242,0
close_drawer,49,harm,approach,0,r2_c0,12,0.14074806592076528,-0.06567475133387007,0.07860519539727487,184.3047897338867,0
close_drawer,49,harm,contact_or_motion,54,fallback_spatial_a,2,0.0030939728021621704,0.014463886618614197,0.06239665462330598,168.63230895996094,0
close_drawer,49,harm,contact_or_motion,54,fallback_spatial_b,3,0.03703664243221283,0.048406556248664856,0.11739345171184117,172.95364379882812,0
close_drawer,49,harm,late,90,r2_c0,3,-0.0039171576499938965,-0.0039171576499938965,0.049443130885050264,188.69718704223632,0
close_drawer,49,harm,late,90,r2_c1,2,0.03795693814754486,0.03795693814754486,0.05434528432732808,182.58493995666504,0
close_drawer,57,harm,approach,0,r0_c1,3,0.0671516256286121,-0.047516032218184456,0.07934377762779311,176.8401626586914,0
close_drawer,57,harm,approach,0,r1_c0,1,0.11466765784679656,0.0,0.10233069420412048,186.81268310546875,0
close_drawer,57,harm,approach,0,r1_c1,8,0.12612482799096847,0.011457170144171913,0.12779758120684695,181.28943481445313,0
close_drawer,57,harm,approach,0,r2_c0,8,0.11466765784679656,0.0,0.10233069420412048,186.70001525878905,0
close_drawer,57,harm,approach,0,r2_c1,3,0.11466765784679656,0.0,0.10233069420412048,186.57828063964843,0
close_drawer,57,harm,contact_or_motion,57,r1_c0,1,0.05165758728981018,0.0,0.08274849789037063,194.3889373779297,0
close_drawer,57,harm,contact_or_motion,57,r1_c1,1,0.05165758728981018,0.0,0.08274849789037063,194.41400451660155,0
close_drawer,57,harm,contact_or_motion,57,r2_c0,9,0.05165758728981018,0.0,0.08274849789037063,193.60240783691407,0
close_drawer,57,harm,contact_or_motion,57,r2_c1,14,0.05165758728981018,0.0,0.08274849789037063,181.69115676879883,0
close_drawer,57,harm,late,90,r0_c0,1,-0.0,0.0,0.20381213353906763,188.27642517089845,0
close_drawer,57,harm,late,90,r0_c1,1,-0.0,0.0,0.20381213353906763,188.47943725585938,0
close_drawer,57,harm,late,90,r1_c0,4,-0.0,0.0,0.20381213353906763,186.08757934570312,0
close_drawer,57,harm,late,90,r1_c1,3,-0.0,0.0,0.19321557033166945,185.07211456298828,0
close_drawer,57,harm,late,90,r2_c0,12,-0.0,0.0,0.1970056763388955,183.56572265625,0
